experiment,group,n,sex_female,sex_male,age_mean,age_sd,age_min,age_max,hand_right,hand_left,hand_ambi,task_semantic,task_control,task_type,modality_pres,modality_resp,tesla,software,fhwm,thresh_vox_p,threshold,thresh_vox_z,thresh_vox_t,thresh_clust_p,thresh_clust_k,foci_table,foci_space,foci_stat,foci_n,comment
arnoldussen2006nc,Chronological age-matched (CA/NC),11,NA,NA,11.58,1.05,9,13,NA,NA,NA,deciding which of two words matched the category of a picture,nonlinguistic shape matching,knowledge,visual,manual,3,AFNI,4,0.005,uncorrected,NA,NA,0.05,400,Table 5: Categorize: NC,TAL,NA,12,
arnoldussen2006rm,Reading-matched (RM),11,NA,NA,7.90,0.59,7,8,NA,NA,NA,deciding which of two words matched the category of a picture,nonlinguistic shape matching,knowledge,visual,manual,3,AFNI,4,0.005,uncorrected,NA,NA,0.05,400,Table 5: Categorize: RM,TAL,NA,11,
aylward2005,Younger children,11,4,7,9.30,0.86,8,10,10,1,0,viewing faces,viewing houses,objects,visual,none,1.5,MEDx,4,NA,uncorrected,2.4,NA,0.05,NA,Table 2: Younger Group,TAL,NA,6,
backes2002,Normals,8,0,8,11.60,0.70,11,12,8,0,0,deciding if both of two presented words were animals,fixation,knowledge,visual,manual,1.5,SPM,8,0.001,uncorrected,NA,NA,0.05,NA,Table 1: Semantic judgment: Normals,TAL,zstat,8,
balsamo2002,NA,11,7,4,8.50,0.90,7,9,11,0,0,naming an object after its description,rest,knowledge,auditory,covert,1.5,SPM,8,0.001,corrected,NA,NA,NA,10,Table 1,TAL,zstat,26,
balsamo2006,NA,23,13,10,8.50,1.50,5,10,22,1,0,deciding if a word was an exemplar of a category,detecting a tone in reversed speech,knowledge,auditory,manual,1.5,SPM,8,0.05,corrected,NA,NA,NA,NA,Table 3,TAL,zstat,9,
bauer2017,Children,14,7,7,10.32,0.90,8,11,14,0,0,deciding if the word of an object was bigger than participants' head and if it was alive or not,fixation,knowledge,visual,covert,3,SPM,6,0.005,uncorrected,NA,NA,0.05,42,Table 2: Child group: Semantic retrieval main effect,MNI,tstat,12,
berl2014,NA,57,26,31,8.90,NA,4,12,57,0,0,deciding if a word matched the preceding definition,detecting a tone in reversed speech,knowledge,auditory,manual,3,SPM,8,0.05,corrected,NA,NA,NA,NA,Table II: Group map activation across all ages 4–12,MNI,tstat,15,
booth2001,Children,5,0,5,11.10,NA,9,12,5,0,0,deciding if a word was related to either of two previous words,deciding if a tone/symbol string was the same as either of two previous ones,lexical,auditory_visual,manual,1.5,SPM,7,0.001,uncorrected,NA,NA,NA,12,Appendix A / B: Children: Semantic,TAL,zstat,9,
booth2003,Children,15,8,7,10.70,NA,9,11,15,0,0,deciding if a word was related to either of two previous words,deciding if a tone/symbol string was the same as either of two previous ones,lexical,auditory_visual,manual,1.5,SPM,7,0.001,uncorrected,NA,NA,NA,15,Table 4: Meaning,MNI,zstat,4,
booth2007,Controls,13,4,9,10.50,2.19,9,15,13,0,0,deciding if two sequentially presented words were related,tone/false font matching,lexical,auditory_visual,manual,1.5,SPM,10,0.001,uncorrected,NA,NA,NA,15,Table 3 / 4: Controls,MNI,zstat,15,
brauer2007,Children,12,8,4,6.20,NA,5,6,12,0,0,deciding if a sentence was semantically congruous,rest,knowledge,auditory,manual,3,LIPSIA,4.239,0.001,uncorrected,3.09,NA,NA,10,Table 3: SEM vs. Baseline,TAL,zstat,24,
