authors,year,source,title,journal,doi,excl_lang,excl_orig,excl_age,excl_clin,excl_fmri,excl_sem,exc_glm,excl_whole,excl_space,excl_within,verdict,age_mean,age_max,comment,task,corresponding,mail,contacted,status
"Arnoldussen, Aimee Louise",2006,databases,"Neural systems involved in reading:fMRI studies of orthography, phonology and semantics",NaN,https://www.proquest.com/docview/304976526/F03EF2CB7F474840PQ/1,0,0,0,0,0,0,0,0,0,0,include,7.9,11,has two groups in the age range,visual picture–word category matching,NaN,NaN,NaN,NaN
"Aylward, E. H.; Park, J. E.; Field, K. M.; Parsons, A. C.; Richards, T. L.; Cramer, S. C.; Meltzoff, A. N.",2005,manually,Brain Activation during Face Perception: Evidence of a Developmental Change,Journal of Cognitive Neuroscience,https://doi.org/10.1162/0898929053124884,0,0,0,0,0,0,0,0,0,0,include,9.3,10,has another group with mean age = 13.0,viewing faces vs. houses,NaN,NaN,NaN,NaN
"Backes, W.; Vuurman, E.; Wennekes, R.; Spronk, P.; Wuisman, M.; van Engelshoven, J.; Jolles, J.",2002,databases,Atypical brain activation of reading processes in children with developmental dyslexia,Journal of Child Neurology,https://doi.org/10.1177/08830738020170121601,0,0,0,0,0,0,0,0,0,0,include,11.6,12,NaN,visual word–animal judgment,NaN,NaN,NaN,NaN
"Balsamo, L.M.; Xu, B.; Gaillard, W.D.",2006,databases,Language lateralization and the role of the fusiform gyrus in semantic processing in young children,NeuroImage,https://doi.org/10.1016/j.neuroimage.2006.01.027,0,0,0,0,0,0,0,0,0,0,include,8.5,10.8,NaN,auditory category–noun judgment,NaN,NaN,NaN,NaN
"Balsamo, Lyn M.; Xu, Benjamin; Grandin, Cecile B.; Petrella, Jeffrey R.; Braniecki, Suzanne H.; Elliott, Teresa K.; Gaillard, William D.",2002,manually,A functional magnetic resonance imaging study of left hemisphere language dominance in children,Archives of Neurology,https://doi.org/10.1001/archneur.59.7.1168,0,0,0,0,0,0,0,0,0,0,include,8.5,9,NaN,covert naming of objects described auditorily,NaN,NaN,NaN,NaN
"Bauer, P.J.; Pathman, T.; Inman, C.; Campanella, C.; Hamann, S.",2017,databases,Neural correlates of autobiographical memory retrieval in children and adults,Memory,https://doi.org/10.1080/09658211.2016.1186699,0,0,0,0,0,0,0,0,0,0,include,10.03,11,NaN,visual word–size and word–animcacy judgment,NaN,NaN,NaN,NaN
"Berl, Madison M.; Mayo, Jessica; Parks, Erin N.; Rosenberger, Lisa R.; VanMeter, John; Ratner, Nan Bernstein; Vaidya, Chandan J.; Gaillard, William Davis",2014,manually,Regional differences in the developmental trajectory of lateralization of the language network,Human Brain Mapping,https://doi.org/10.1002/hbm.22179,0,0,0,0,0,0,0,0,0,0,include,8.9,12,NaN,auditory description–definition task,NaN,NaN,NaN,NaN
"Booth, J.R.; Bebko, G.; Burman, D.D.; Bitan, T.",2007,databases,Children with reading disorder show modality independent brain abnormalities during semantic tasks,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2006.08.015,0,0,0,0,0,0,0,0,0,0,include,10.6,15,NaN,auditory and visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Booth, J.R.; Burman, D.D.; Meyer, J.R.; Lei, Z.; Choy, J.; Gitelman, D.R.; Parrish, T.B.; Mesulam, M.M.",2003a,databases,Modality-specific and -independent developmental differences in the neural substrate for lexical processing,Journal of Neurolinguistics,https://doi.org/10.1016/S0911-6044(03)00019-8,0,0,0,0,0,0,0,0,0,0,include,10.7,11,NaN,auditory and visual words–word relatedness judgment,NaN,NaN,NaN,NaN
"Booth, James R.; Burman, Douglas D.; Van Santen, Frank; Harasaki, Yasuaki; Gitelman, Darren R.; Parrish, Todd B.; Mesulam, M. Marsel",2001b,databases,The development of specialized brain systems in reading and oral-language,Child Neuropsychology,https://doi.org/10.1076/chin.7.3.119.8740,0,0,0,0,0,0,0,0,0,0,include,11.1,12,NaN,auditory and visual words–word relatedness judgment,NaN,NaN,NaN,NaN
"Brauer, J.; Friederici, A.D.",2007,databases,Functional neural networks of semantic and syntactic processes in the developing brain,Journal of Cognitive Neuroscience,https://doi.org/10.1162/jocn.2007.19.10.1609,0,0,0,0,0,0,0,0,0,0,include,6.2,6,NaN,auditory semantically correct vs. incorrect sentences,NaN,NaN,NaN,NaN
"Cao, F.; Peng, D.; Liu, L.; Jin, Z.; Fan, N.; Deng, Y.; Booth, J.R.",2008,databases,Developmental differences of neurocognitive networks for phonological and semantic processing in Chinese word reading,Human Brain Mapping,https://doi.org/10.1002/hbm.20546,0,0,0,0,0,0,0,0,0,0,include,11.2,12,NaN,visual two-word–one-word relatedness judgment,NaN,NaN,NaN,NaN
"Chou, T.-L.; Booth, J.R.; Bitan, T.; Burman, D.D.; Bigio, J.D.; Cone, N.E.; Lu, D.; Cao, F.",2006a,databases,Developmental and skill effects on the neural correlates of semantic processing to visually presented words,Human Brain Mapping,https://doi.org/10.1002/hbm.20231,0,0,0,0,0,0,0,0,0,0,include,11.7,15,NaN,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Chou, T.-L.; Booth, J.R.; Burman, D.D.; Bitan, T.; Bigio, J.D.; Lu, D.; Cone, N.E.",2006b,databases,Developmental changes in the neural correlates of semantic processing,NeuroImage,https://doi.org/10.1016/j.neuroimage.2005.09.064,0,0,0,0,0,0,0,0,0,0,include,12.1,15,NaN,auditory word–word relatedness judgment,NaN,NaN,NaN,NaN
"Chou, T.-L.; Chen, C.-W.; Fan, L.-Y.; Chen, S.-Y.; Booth, J.R.",2009,databases,Testing for a cultural influence on reading for meaning in the developing brain: The neural basis of semantic processing in Chinese children,Frontiers in Human Neuroscience,https://doi.org/10.3389/neuro.09.027.2009,0,0,0,0,0,0,0,0,0,0,include,12.3,15,NaN,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Chou, T.-L.; Wong, C.-H.; Chen, S.-Y.; Fan, L.-Y.; Booth, J.R.",2019,databases,Developmental changes of association strength and categorical relatedness on semantic processing in the brain,Brain and Language,https://doi.org/10.1016/j.bandl.2018.12.006,0,0,0,0,0,0,0,0,0,0,include,12.1,14,NaN,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Corbett, Blythe A.; Carmean, Vanessa; Ravizza, Susan; Wendelken, Carter; Henry, Melissa L.; Carter, Cameron; Rivera, Susan M.",2009,manually,A functional and structural study of emotion and face processing in children with autism,Psychiatry research,https://doi.org/10.1016/j.pscychresns.2008.08.005,0,0,0,0,0,0,0,0,0,0,include,9.17,12,NaN,visual same person vs. same thing decision,NaN,NaN,NaN,NaN
"Dekker, T.M.; Mareschal, D.; Johnson, M.H.; Sereno, M.I.",2014,databases,Picturing words? Sensorimotor cortex activation for printed words in child and adult readers,Brain and Language,https://doi.org/10.1016/j.bandl.2014.09.009,0,0,0,0,0,0,0,0,0,0,include,7.6,8,NaN,one-back categorisation task,NaN,NaN,NaN,NaN
