0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
0 18 2 19 13 16 44 39 7 14 6 26 10 17 47 11 25 49 45 42 8 1 23 3 35 31 32 15 12 33 21 36 29 4 43 28 5 37 27 48 41 40 20 24 30 38 22 9 46 34 
43 25 45 12 44 23 15 21 26 20 48 4 16 47 36 2 7 41 27 28 14 9 13 40 0 5 8 39 6 3 22 33 17 10 46 37 24 49 38 35 30 32 1 34 29 42 11 18 19 31 
0 43 47 13 48 22 16 44 5 41 39 40 14 6 28 9 25 45 17 30 34 29 7 31 1 42 24 15 10 21 26 35 12 46 37 33 3 38 27 20 18 32 19 23 8 2 4 49 11 36 
26 16 11 25 3 32 46 15 49 9 23 42 17 40 35 8 38 28 6 2 14 44 7 36 24 0 4 13 27 37 30 1 22 20 19 12 47 18 33 29 41 39 48 10 45 21 43 34 5 31 
49 40 14 43 9 16 2 38 0 39 45 20 24 12 7 28 1 5 30 42 8 13 44 19 10 37 34 31 23 22 36 26 48 21 3 32 46 47 6 11 25 17 27 15 4 18 35 33 41 29 
0 30 42 9 37 24 40 35 18 38 36 15 21 34 23 13 16 10 12 1 2 45 4 8 49 6 39 19 48 47 41 5 22 17 7 44 3 25 14 11 46 20 32 31 43 26 28 29 27 33 
19 39 13 48 22 8 1 41 46 47 16 6 24 38 5 45 0 36 30 43 35 7 31 34 32 33 42 44 25 11 21 17 40 15 20 28 37 9 27 23 4 18 2 10 12 29 26 3 49 14 
0 33 22 29 16 7 28 5 23 3 4 13 49 35 8 10 2 15 1 27 31 12 47 42 18 14 20 32 34 26 44 40 9 24 43 45 37 46 48 17 19 39 21 11 25 38 41 30 36 6 
38 36 9 24 17 39 45 37 14 4 2 15 19 23 34 6 35 26 40 10 31 49 27 48 25 12 28 41 42 30 43 47 18 20 8 11 22 13 46 44 3 21 32 33 1 29 0 7 16 5 
12 22 45 14 42 10 39 1 30 35 4 31 0 19 23 7 17 15 11 46 9 38 43 37 28 40 25 26 41 8 20 44 29 24 6 33 32 47 48 27 16 34 21 13 5 36 2 49 3 18 
21 25 1 44 0 19 10 32 33 41 13 45 43 5 11 26 47 18 37 16 6 8 39 35 34 12 29 28 40 22 3 15 27 4 2 38 36 23 49 48 20 30 17 46 42 9 14 7 31 24 
14 20 9 36 10 28 32 11 5 45 47 1 35 16 31 8 4 46 15 22 48 33 42 26 6 3 37 29 25 23 2 43 38 34 17 44 40 41 18 7 39 13 49 30 24 19 0 27 21 12 
