study	n1	t_thr	threshold	age_mean_c	age_mean_c_2	task_type	modality_pres	modality_resp	software
arnoldussen2006nc	11	3.169272667175838	uncorrected	1.5101999999999993	2.280704039999998	1	0	1	2
arnoldussen2006rm	11	3.169272667175838	uncorrected	-2.1698000000000004	4.708032040000002	1	0	1	2
aylward2005	11	2.8796600555467062	uncorrected	-0.7698	0.5925920400000001	2	0	0	2
backes2002	8	4.785289628649169	uncorrected	1.530199999999999	2.3415120399999965	1	0	1	0
balsamo2002	11	4.143700494046624	corrected	-1.5698000000000008	2.464272040000002	1	3	2	0
balsamo2006	23	1.7171443743802424	corrected	-1.5698000000000008	2.464272040000002	1	3	1	0
bauer2017	14	3.012275838207184	uncorrected	0.25019999999999953	0.06260003999999977	1	0	2	0
berl2014	57	1.6725223027163512	corrected	-1.1698000000000004	1.368432040000001	1	3	1	0
booth2001	5	30.599437671092225	uncorrected	1.030199999999999	1.0613120399999978	0	2	1	0
booth2003	15	3.7873902438952363	uncorrected	0.6301999999999985	0.39715203999999815	0	2	1	0
booth2007	13	3.9296332646264927	uncorrected	0.43019999999999925	0.18507203999999935	0	2	1	0
brauer2007	12	4.024242760612714	uncorrected	-3.8698000000000006	14.975352040000004	1	3	1	2
cao2008	13	3.9296332646264927	uncorrected	1.1301999999999985	1.2773520399999967	0	0	1	0
chou2006a	35	3.347934313330155	uncorrected	1.6301999999999985	2.6575520399999952	0	0	1	0
chou2006b	26	1.708140761251899	corrected	2.030199999999999	4.121712039999996	0	3	1	0
chou2009	33	1.693888754005164	corrected	2.2302	4.97379204	0	0	1	0
chou2019	16	3.7328344185334386	uncorrected	2.030199999999999	4.121712039999996	0	0	1	0
corbett2009	15	3.7873902438952363	uncorrected	-0.8998000000000008	0.8096400400000014	2	0	1	0
dekker2014old	10	2.778645058984753	uncorrected	-0.26980000000000004	0.07279204000000002	2	0	1	1
dekker2014yng	11	2.7230371757032557	uncorrected	-2.469800000000001	6.099912040000006	2	0	1	1
fan2020	26	1.708140761251899	corrected	-0.26980000000000004	0.07279204000000002	0	0	1	0
gaillard2001	9	4.500199256815951	corrected	0.13019999999999854	0.01695203999999962	1	0	2	0
gaillard2003	16	4.879998288424519	corrected	0.13019999999999854	0.01695203999999962	1	0	2	0
horowitzkraus2015	23	2.4762758395116617	corrected	-1.5698000000000008	2.464272040000002	1	1	1	1
kersey2016	29	2.763262455461066	uncorrected	-3.469800000000001	12.039512040000007	2	0	1	2
krishnan2015	37	3.3446414781696125	uncorrected	-0.3398000000000003	0.11546404000000023	1	0	3	1
krishnan2021	67	6.951785957346315	uncorrected	2.030199999999999	4.121712039999996	1	0	3	1
lee2011aud	23	1.7171443743802424	corrected	2.7302	7.45399204	0	1	1	0
lee2011vis	23	1.7171443743802424	corrected	2.7302	7.45399204	0	0	1	0
lee2016	30	1.6991270265334977	corrected	1.7302	2.99359204	0	0	1	0
libertus2009	15	2.6244940675602315	uncorrected	-1.3998000000000008	1.9594400400000023	2	0	1	0
liebig2017	41	3.306877714085111	uncorrected	1.8301999999999996	3.3496320399999986	2	0	1	0
mathur2020	19	3.1444922314861077	uncorrected	-3.519800000000001	12.388992040000007	0	0	1	0
meyler2008	12	3.6237693497057597	uncorrected	0.7302	0.53319204	1	0	1	0
monzalvo2012	23	3.5049920308805897	uncorrected	-0.43979999999999997	0.19342403999999996	2	0	1	0
mooreparks2010	23	3.786	uncorrected	-1.2798000000000016	1.6378880400000042	1	3	1	2
okamoto2017	12	4.024701037630745	uncorrected	1.2302	1.5133920399999998	2	0	1	0
passarotti2003	12	4.024701037630745	uncorrected	0.9301999999999992	0.8652720399999986	2	0	1	2
schafer2009	26	2.4851071754106417	uncorrected	2.1301999999999985	4.537752039999994	0	0	1	0
scherf2007adol	10	2.5	uncorrected	2.4301999999999992	5.905872039999997	2	0	0	2
scherf2007child	10	2.5	uncorrected	-2.8698000000000006	8.235752040000003	2	0	0	2
scherf2010	10	2.3	uncorrected	2.3301999999999996	5.429832039999998	2	0	0	2
siok2004	8	1.8945786050613054	corrected	1.0101999999999993	1.0205040399999987	1	0	1	0
skeide2014nine	20	2.5394831906222888	corrected	0.18019999999999925	0.03247203999999973	1	1	1	0
skeide2014six	20	2.5394831906222888	corrected	-2.649800000000001	7.021440040000004	1	1	1	0
szaflarski2006	29	8.682919122405622	uncorrected	-2.0698000000000008	4.284072040000003	1	3	2	2
vannest2012	15	22.226431529234908	uncorrected	-0.8698000000000015	0.7565520400000025	1	3	1	2
wong2019	38	3.3256310451954367	uncorrected	1.8301999999999996	3.3496320399999986	0	0	1	0
wu2016	30	2.756385903670335	uncorrected	-4.569800000000001	20.883072040000005	1	3	0	0
xue2004	12	5.452762088834251	uncorrected	1.530199999999999	2.3415120399999965	0	0	1	0
