Analysis	Cluster #	Size (mm3)	Cluster labels	Mean z	Mean ALE	Peak z	Peak ALE	Peak X	Peak Y	Peak Z	Peak label
Adults	1	88,648	24.15% Temporal_Mid_L; 14.85% Frontal_Inf_Tri_L; 7.06% Fusiform_L; 6.80% Temporal_Inf_L; 5.82% Frontal_Inf_Orb_2_L	5.41	0.064	13.27	0.179	-56	-38	2	Temporal_Mid_L
	2	12,488	36.45% Frontal_Sup_Medial_L; 36.45% Supp_Motor_Area_L; 11.79% Frontal_Sup_2_L; 9.29% Supp_Motor_Area_R	4.65	0.054	9.68	0.121	-4	18	50	Supp_Motor_Area_L
	3	8,320	34.90% Temporal_Sup_R; 24.42% Temporal_Mid_R; 20.58% Temporal_Pole_Mid_R; 20.10% Temporal_Pole_Sup_R	4.35	0.050	7.54	0.090	56	0	-18	Temporal_Mid_R
	4	4,176	44.25% Frontal_Inf_Orb_2_R; 33.52% Insula_R; 10.15% OFCpost_R; 6.13% no_label	4.35	0.050	7.37	0.087	36	24	-2	Insula_R
	5	3,616	50.22% Precuneus_L; 21.24% Calcarine_L; 15.04% Cingulate_Post_L; 5.75% no_label	4.36	0.050	6.89	0.081	-6	-56	14	Precuneus_L
	6	1,768	61.09% Temporal_Mid_R; 38.46% Temporal_Sup_R	3.99	0.046	6.11	0.071	52	-34	0	Temporal_Mid_R
	7	72	77.78% Frontal_Mid_2_L; 22.22% Frontal_Sup_2_L	3.22	0.038	3.35	0.039	-26	26	46	Frontal_Mid_2_L
Children > adults	1	1,072	69.40% Temporal_Inf_R; 20.90% Cerebelum_Crus1_R; 7.46% no_label	3.68		3.89		56	-64	-18	Temporal_Inf_R
	2	776	52.58% Parietal_Inf_R; 27.84% Parietal_Sup_R; 17.53% Postcentral_R	3.59		3.89		30	-48	52	Parietal_Inf_R
	3	672	40.48% Temporal_Inf_R; 21.43% no_label; 20.24% Temporal_Mid_R; 17.86% Fusiform_R	3.59		3.48		44	-56	-8	Temporal_Inf_R
	4	664	36.14% Lingual_L; 34.94% Fusiform_L; 16.87% Occipital_Inf_L; 8.43% Cerebelum_Crus1_L	3.69		4.06		-26	-82	-16	Lingual_L
	5	432	77.78% Calcarine_R; 11.11% Lingual_R; 11.11% no_label	3.51		4.06		20	-104	-2	no_label
	6	352	100.00% no_label	3.66		4.06		26	0	36	no_label
	7	232	86.21% no_label; 6.90% Occipital_Mid_R; 6.90% Calcarine_R	3.69		3.39		32	-74	10	no_label
Adults > children	1	2,632	86.02% Temporal_Mid_L; 11.25% Temporal_Inf_L	3.78		4.06		-58	-10	-22	Temporal_Mid_L
	2	584	94.52% Calcarine_L; 5.48% Precuneus_L	3.49		4.06		-10	-62	10	Calcarine_L
Conjunction	1	9,592	63.80% Frontal_Inf_Tri_L; 11.51% Frontal_Inf_Oper_L; 10.18% Frontal_Inf_Orb_2_L; 9.01% Precentral_L; 5.17% Insula_L	3.95	0.023	6.45	0.043	-44	18	24	Frontal_Inf_Tri_L
	2	5,320	61.95% Supp_Motor_Area_L; 29.17% Frontal_Sup_Medial_L	4.41	0.027	7.43	0.053	-4	16	50	Supp_Motor_Area_L
	3	2,480	94.52% Temporal_Mid_L; 5.16% Temporal_Sup_L	4.38	0.026	7.05	0.049	-52	-38	4	Temporal_Mid_L
	4	2,232	46.95% Insula_R; 39.43% Frontal_Inf_Orb_2_R; 7.17% no_label; 6.45% OFCpost_R	4.23	0.028	6.74	0.053	36	24	-4	Insula_R
	5	2,056	73.54% Fusiform_L; 14.79% Occipital_Inf_L; 10.12% Temporal_Inf_L	3.66	0.021	4.84	0.029	-40	-52	-20	Fusiform_L
	6	48	100.00% Frontal_Inf_Tri_L	3.20	0.017	3.30	0.018	-40	36	6	Frontal_Inf_Tri_L
